fast_days,slow_days,smoother_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
20,60,12,validation,2024-06-03,2025-05-30,249,0.8328130301173057,-0.16964076572668874,0.2816986432706368,-0.5167210949256009,-0.30101215599248987,1.9805754329989924,0.7935690584501246,13.0
20,60,13,training,2020-01-02,2024-05-31,1111,1.0005934980132178,0.000134709193781557,0.28976455115188654,0.14588569530077916,-0.46254410644644806,1.8631296955897412,0.7469423943650549,12.0
20,60,13,validation,2024-06-03,2025-05-30,249,0.8344352252230726,-0.16799723710100745,0.28287722634100504,-0.5064181497819794,-0.2973076277321157,1.9807939122305163,0.7935606393032769,12.0
20,60,14,training,2020-01-02,2024-05-31,1111,0.9718643078250376,-0.00645819928978153,0.289627668975283,0.12299694618506758,-0.4632737883139624,1.8615362920944034,0.7462725363012828,10.0
20,60,14,validation,2024-06-03,2025-05-30,249,0.8355375224603789,-0.166880414117894,0.2839494411368914,-0.49871019098137653,-0.29400397195930594,1.9809148062872253,0.7935546986669527,10.0
20,60,15,training,2020-01-02,2024-05-31,1111,0.9451001132645283,-0.012737135989542514,0.28953641335290514,0.10106070901618568,-0.4638171176866136,1.8598777039861065,0.7455918516483465,7.0
20,60,15,validation,2024-06-03,2025-05-30,249,0.8361545187956468,-0.16625527681234298,0.28491991569005176,-0.4933919956221441,-0.2935672975719875,1.9810789813562808,0.7935517403361168,7.0
20,60,16,training,2020-01-02,2024-05-31,1111,0.9237842803622193,-0.017836957082535743,0.2895089086506777,0.08316246044138753,-0.46422412877978514,1.8582732252534508,0.7449045064175025,6.0
20,60,16,validation,2024-06-03,2025-05-30,249,0.8360933675245446,-0.16631723527734243,0.2856850492135026,-0.49152747558774973,-0.29296124310656524,1.981180691991586,0.793551947365451,6.0
20,60,17,training,2020-01-02,2024-05-31,1111,0.9096729427874495,-0.021263360317354096,0.28951411987444364,0.0710995583879235,-0.4646548256189129,1.8565513120832962,0.7442043675610766,5.0
20,60,17,validation,2024-06-03,2025-05-30,249,0.8356901427137425,-0.16672578080646772,0.2863396071827279,-0.49141389464289253,-0.29211908383886465,1.9813766899239387,0.7935541297128185,5.0
20,60,18,training,2020-01-02,2024-05-31,1111,0.9024170509905947,-0.02304119765337176,0.2894815569711791,0.06479269564591655,-0.4650136806603853,1.854837458761204,0.743484928514355,8.0
20,60,18,validation,2024-06-03,2025-05-30,249,0.8345602914348107,-0.16787052400002778,0.2867844201892123,-0.4949333961586594,-0.2911037994866257,1.981502979365363,0.7935589972918553,8.0
20,60,19,training,2020-01-02,2024-05-31,1111,0.8951886694881493,-0.024823315268343138,0.2894714538945107,0.05847655480537492,-0.46765084858026007,1.8531526384150188,0.7427706852685081,9.0
20,60,19,validation,2024-06-03,2025-05-30,249,0.8335046363793455,-0.16894007044542414,0.28712312667963363,-0.4984254004203506,-0.28974703767196297,1.9817263066590913,0.7935652076966883,9.0
